Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
monday,over 51,male,Basic Education,employee,Experienced,Other,governmental,2-5yrs,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,crossing,earth roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
monday,31-50,unknown,Basic Education,employee,Veteran,Other,owner,below 1yr,no defect,Public/Institutional,undivided two way,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,2,Not Involved,Vehicle Loss of Control,slight injury
thursday,under 18,male,Basic Education,employee,Experienced,Other,owner,unknown,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - no lighting,Clear,Vehicle Collision,1,4,Moving Forward,na,Not Involved,Speed Violation,severe injury
thursday,under 18,male,Basic Education,employee,Veteran,Public Transport,owner,unknown,no defect,Other,one way,Straight Road,no junction,asphalt roads,dry,darkness - no lighting,Clear,Vehicle Collision,1,4,Moving Forward,2,Not Involved,Priority Violation,severe injury
thursday,under 18,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - no lighting,Clear,Vehicle Collision,1,4,Moving Forward,na,Not Involved,Priority Violation,severe injury
thursday,under 18,male,Basic Education,employee,Experienced,Other,owner,unknown,no defect,Commercial/Workplace,one way,Straight Road,no junction,asphalt roads,dry,darkness - no lighting,Clear,Vehicle Collision,1,4,Moving Forward,na,Not Involved,Priority Violation,severe injury
monday,over 51,male,Basic Education,employee,New Driver,Public Transport,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights unlit,Clear,Vehicle Collision,3,1,Vehicle Exit/Loss of Control,na,Not Involved,Other,slight injury
monday,31-50,unknown,Basic Education,employee,Experienced,Other,governmental,unknown,no defect,Urban/Residential,double carriageway (median),Straight Road,y shape,asphalt roads,dry,darkness - lights unlit,Clear,Vehicle Collision,3,1,Moving Forward,3,Not Involved,Other,slight injury
monday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,unknown,Straight Road,y shape,asphalt roads,dry,darkness - lights unlit,Clear,Vehicle Collision,3,1,Moving Forward,na,Not Involved,Negligence,slight injury
friday,18-30,male,Basic Education,employee,Intermediate,Other,owner,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,daylight,Clear,Rollover/Fall,2,1,Other,na,Not Involved,Negligence,slight injury
friday,31-50,male,Basic Education,employee,Experienced,Other,owner,unknown,no defect,Public/Institutional,other,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Reversing,3,Not Involved,Negligence,slight injury
monday,31-50,unknown,Basic Education,unknown,Experienced,Other,owner,above 10yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,crossing,earth roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
friday,18-30,male,Basic Education,employee,Veteran,Heavy Vehicle,owner,unknown,no defect,Leisure/Public Space,one way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Reversing,3,Not Involved,Negligence,slight injury
saturday,unknown,female,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,2,3,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,slight injury
saturday,18-30,unknown,Basic Education,employee,New Driver,Other,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,3,Moving Forward,na,Not Involved,Other,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,3,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Basic Education,owner,Experienced,Public Transport,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,crossing,earth roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,3,Other,na,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,employee,Intermediate,Private Vehicle,governmental,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Rain,Object Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,18-30,male,Basic Education,employee,Veteran,Heavy Vehicle,governmental,unknown,no defect,Commercial/Workplace,other,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
friday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Other,other,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
friday,31-50,male,Basic Education,employee,Veteran,Public Transport,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
friday,18-30,male,Basic Education,employee,New Driver,Other,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,3,1,Reversing,2,Not Involved,Priority Violation,slight injury
tuesday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,organization,unknown,no defect,Other,other,Straight Road,other,asphalt roads,dry,daylight,Clear,Object Collision,1,1,Moving Forward,3,Not Involved,Priority Violation,severe injury
monday,under 18,unknown,Basic Education,employee,Experienced,Heavy Vehicle,governmental,2-5yrs,no defect,Other,other,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
monday,over 51,male,Basic Education,employee,Experienced,Other,owner,unknown,no defect,Other,undivided two way,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Vehicle Loss of Control,slight injury
saturday,31-50,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,above 10yr,no defect,Other,other,Straight Road,no junction,other,wet or damp,daylight,Clear,Vehicle Collision,1,1,Vehicle Exit/Loss of Control,3,Not Involved,Lane Violation,slight injury
sunday,18-30,male,Basic Education,employee,Experienced,Animal Vehicle,owner,unknown,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,3,Reversing,na,Not Involved,Negligence,slight injury
sunday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,2-5yrs,no defect,Public/Institutional,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,3,Moving Forward,3,Not Involved,Lane Violation,slight injury
sunday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,2-5yrs,no defect,Commercial/Workplace,double carriageway (median),Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Human Collision,1,3,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,owner,New Driver,Private Vehicle,owner,2-5yrs,no defect,Public/Institutional,other,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Vehicle Exit/Loss of Control,na,Not Involved,Priority Violation,slight injury
saturday,under 18,male,Basic Education,employee,Experienced,Other,owner,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Reversing,3,Not Involved,Negligence,slight injury
saturday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Other,other,Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Object Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
friday,31-50,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,1-2yr,no defect,Public/Institutional,other,Steep/Sloped Terrain,no junction,asphalt roads,wet or damp,darkness - no lighting,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Negligence,severe injury
saturday,18-30,unknown,Basic Education,employee,Experienced,Heavy Vehicle,owner,5-10yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,crossing,earth roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Negligence,slight injury
friday,31-50,male,Basic Education,owner,New Driver,Private Vehicle,owner,below 1yr,no defect,Other,other,Steep/Sloped Terrain,no junction,asphalt roads,dry,darkness - lights lit,Clear,Human Collision,1,1,Reversing,na,Not Involved,Lane Violation,slight injury
friday,31-50,male,Higher Education,employee,New Driver,Public Transport,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,crossing,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,severe injury
friday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Other,undivided two way,Straight Road,crossing,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,severe injury
thursday,under 18,male,Basic Education,employee,New Driver,Public Transport,owner,2-5yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Clear,Human Collision,1,2,Moving Forward,3,Not Involved,Negligence,severe injury
thursday,under 18,male,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Clear,Human Collision,1,2,Stopped,na,Not Involved,Lane Violation,severe injury
friday,18-30,unknown,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Other,double carriageway (median),Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Human Collision,1,4,Moving Forward,na,Not Involved,Lane Violation,slight injury
friday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Public/Institutional,other,Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Object Collision,1,4,Moving Forward,3,Not Involved,Negligence,slight injury
friday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,1,4,Other,3,Not Involved,Speed Violation,slight injury
friday,18-30,unknown,Basic Education,owner,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,1,4,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Other,owner,2-5yrs,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,1,Not Involved,Negligence,slight injury
friday,under 18,male,Basic Education,owner,Experienced,Private Vehicle,owner,2-5yrs,no defect,Urban/Residential,undivided two way,Straight Road,crossing,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,1,1,Stopped,3,Not Involved,Other,slight injury
sunday,18-30,male,Low Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Lane Violation,slight injury
sunday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,5-10yrs,7,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
sunday,31-50,male,Basic Education,employee,New Driver,Two Wheeler,owner,unknown,7,Other,other,Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Human Collision,2,2,Moving Forward,3,Not Involved,Speed Violation,slight injury
sunday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Steep/Sloped Terrain,no junction,asphalt roads,wet or damp,darkness - lights lit,Rain,Object Collision,2,1,Reversing,na,Not Involved,Other,slight injury
sunday,18-30,male,Basic Education,employee,Intermediate,Heavy Vehicle,governmental,unknown,no defect,Public/Institutional,double carriageway (median),Straight Road,no junction,earth roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
saturday,unknown,female,Basic Education,employee,Intermediate,Heavy Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Steep/Sloped Terrain,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Speed Violation,slight injury
saturday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,5-10yrs,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Other,3,Not Involved,Priority Violation,slight injury
saturday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,governmental,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,na,Not Involved,Negligence,slight injury
saturday,under 18,male,Basic Education,unknown,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Other,2,1,Reversing,3,Not Involved,Other,slight injury
saturday,under 18,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Priority Violation,slight injury
